"Date","Value"
"12/31/1996",3.13
"01/02/1997",3.06
"01/03/1997",3.09
"01/06/1997",3.1
"01/07/1997",3.1
"01/08/1997",3.07
"01/09/1997",3.13
"01/10/1997",3.16
"01/13/1997",3.04
"01/14/1997",3.09
"01/15/1997",3.07
"01/16/1997",3.02
"01/17/1997",3.04
"01/20/1997",3.03
"01/21/1997",3.05
"01/22/1997",2.99
"01/23/1997",2.97
"01/24/1997",2.94
"01/27/1997",2.9
"01/28/1997",2.92
"01/29/1997",2.94
"01/30/1997",2.97
"01/31/1997",3.04
"02/03/1997",3.08
"02/04/1997",3.08
"02/05/1997",3.05
"02/06/1997",3.03
"02/07/1997",3.06
"02/10/1997",3.04
"02/11/1997",3.03
"02/12/1997",3.01
"02/13/1997",3.04
"02/14/1997",3.05
"02/18/1997",3.01
"02/19/1997",2.98
"02/20/1997",2.89
"02/21/1997",2.89
"02/24/1997",2.85
"02/25/1997",2.83
"02/26/1997",2.71
"02/27/1997",2.71
"02/28/1997",2.73
"03/03/1997",2.71
"03/04/1997",2.67
"03/05/1997",2.71
"03/06/1997",2.7
"03/07/1997",2.74
"03/10/1997",2.74
"03/11/1997",2.72
"03/12/1997",2.69
"03/13/1997",2.62
"03/14/1997",2.66
"03/17/1997",2.66
"03/18/1997",2.67
"03/19/1997",2.67
"03/20/1997",2.68
"03/21/1997",2.69
"03/24/1997",2.71
"03/25/1997",2.69
"03/26/1997",2.71
"03/27/1997",2.67
"03/31/1997",2.84
"04/01/1997",2.9
"04/02/1997",2.94
"04/03/1997",2.95
"04/04/1997",2.92
"04/07/1997",2.95
"04/08/1997",2.93
"04/09/1997",2.91
"04/10/1997",2.92
"04/11/1997",2.87
"04/14/1997",2.88
"04/15/1997",2.93
"04/16/1997",2.91
"04/17/1997",2.92
"04/18/1997",2.91
"04/21/1997",2.87
"04/22/1997",2.89
"04/23/1997",2.83
"04/24/1997",2.78
"04/25/1997",2.78
"04/28/1997",2.81
"04/29/1997",2.91
"04/30/1997",2.94
"05/01/1997",2.91
"05/02/1997",2.9
"05/05/1997",2.86
"05/06/1997",2.83
"05/07/1997",2.79
"05/08/1997",2.79
"05/09/1997",2.81
"05/12/1997",2.82
"05/13/1997",2.73
"05/14/1997",2.69
"05/15/1997",2.7
"05/16/1997",2.68
"05/19/1997",2.67
"05/20/1997",2.69
"05/21/1997",2.67
"05/22/1997",2.63
"05/23/1997",2.64
"05/27/1997",2.6
"05/28/1997",2.61
"05/29/1997",2.61
"05/30/1997",2.65
"05/31/1997",2.68
"06/02/1997",2.66
"06/03/1997",2.68
"06/04/1997",2.65
"06/05/1997",2.6
"06/06/1997",2.7
"06/09/1997",2.59
"06/10/1997",2.56
"06/11/1997",2.55
"06/12/1997",2.59
"06/13/1997",2.62
"06/16/1997",2.6
"06/17/1997",2.58
"06/18/1997",2.62
"06/19/1997",2.61
"06/20/1997",2.64
"06/23/1997",2.61
"06/24/1997",2.6
"06/25/1997",2.59
"06/26/1997",2.61
"06/27/1997",2.63
"06/30/1997",2.67
"07/01/1997",2.7
"07/02/1997",2.71
"07/03/1997",2.79
"07/07/1997",2.82
"07/08/1997",2.8
"07/09/1997",2.8
"07/10/1997",2.78
"07/11/1997",2.76
"07/14/1997",2.71
"07/15/1997",2.69
"07/16/1997",2.71
"07/17/1997",2.7
"07/18/1997",2.67
"07/21/1997",2.66
"07/22/1997",2.72
"07/23/1997",2.69
"07/24/1997",2.69
"07/25/1997",2.66
"07/28/1997",2.68
"07/29/1997",2.7
"07/30/1997",2.73
"07/31/1997",2.71
"08/01/1997",2.57
"08/04/1997",2.55
"08/05/1997",2.55
"08/06/1997",2.56
"08/07/1997",2.52
"08/08/1997",2.49
"08/11/1997",2.5
"08/12/1997",2.51
"08/13/1997",2.53
"08/14/1997",2.54
"08/15/1997",2.56
"08/18/1997",2.61
"08/19/1997",2.6
"08/20/1997",2.58
"08/21/1997",2.55
"08/22/1997",2.52
"08/25/1997",2.5
"08/26/1997",2.51
"08/27/1997",2.51
"08/28/1997",2.57
"08/29/1997",2.54
"08/31/1997",2.59
"09/02/1997",2.62
"09/03/1997",2.6
"09/04/1997",2.61
"09/05/1997",2.6
"09/08/1997",2.6
"09/09/1997",2.59
"09/10/1997",2.55
"09/11/1997",2.55
"09/12/1997",2.62
"09/15/1997",2.61
"09/16/1997",2.69
"09/17/1997",2.65
"09/18/1997",2.59
"09/19/1997",2.59
"09/22/1997",2.59
"09/23/1997",2.57
"09/24/1997",2.61
"09/25/1997",2.54
"09/26/1997",2.57
"09/29/1997",2.55
"09/30/1997",2.59
"10/01/1997",2.63
"10/02/1997",2.63
"10/03/1997",2.61
"10/06/1997",2.63
"10/07/1997",2.62
"10/08/1997",2.49
"10/09/1997",2.51
"10/10/1997",2.51
"10/13/1997",2.54
"10/14/1997",2.51
"10/15/1997",2.48
"10/16/1997",2.47
"10/17/1997",2.44
"10/20/1997",2.45
"10/21/1997",2.45
"10/22/1997",2.46
"10/23/1997",2.55
"10/24/1997",2.58
"10/27/1997",2.84
"10/28/1997",2.82
"10/29/1997",2.83
"10/30/1997",2.89
"10/31/1997",2.99
"11/03/1997",2.91
"11/04/1997",2.84
"11/05/1997",2.81
"11/06/1997",2.83
"11/07/1997",2.83
"11/10/1997",2.81
"11/11/1997",2.8
"11/12/1997",2.83
"11/13/1997",2.86
"11/14/1997",2.88
"11/17/1997",2.89
"11/18/1997",2.88
"11/19/1997",2.91
"11/20/1997",2.89
"11/21/1997",2.9
"11/24/1997",2.87
"11/25/1997",2.87
"11/26/1997",2.85
"11/27/1997",2.85
"11/28/1997",2.84
"11/30/1997",2.9
"12/01/1997",2.9
"12/02/1997",2.87
"12/03/1997",2.88
"12/04/1997",2.87
"12/05/1997",2.81
"12/08/1997",2.77
"12/09/1997",2.79
"12/10/1997",2.82
"12/11/1997",2.88
"12/12/1997",2.94
"12/15/1997",2.89
"12/16/1997",2.9
"12/17/1997",2.87
"12/18/1997",2.89
"12/19/1997",2.93
"12/22/1997",2.93
"12/23/1997",2.94
"12/24/1997",2.94
"12/26/1997",2.93
"12/29/1997",2.92
"12/30/1997",2.91
"12/31/1997",2.96
"01/02/1998",3.02
"01/05/1998",3.09
"01/06/1998",3.1
"01/07/1998",3.07
"01/08/1998",3.1
"01/09/1998",3.16
"01/12/1998",3.16
"01/13/1998",3.14
"01/14/1998",3.1
"01/15/1998",3.07
"01/16/1998",3.01
"01/19/1998",3.01
"01/20/1998",2.98
"01/21/1998",2.99
"01/22/1998",2.98
"01/23/1998",2.9
"01/26/1998",2.92
"01/27/1998",2.89
"01/28/1998",2.89
"01/29/1998",2.95
"01/30/1998",2.98
"01/31/1998",3
"02/02/1998",2.96
"02/03/1998",2.98
"02/04/1998",2.98
"02/05/1998",2.94
"02/06/1998",2.93
"02/09/1998",2.92
"02/10/1998",2.93
"02/11/1998",2.96
"02/12/1998",2.95
"02/13/1998",2.97
"02/16/1998",2.96
"02/17/1998",2.94
"02/18/1998",2.94
"02/19/1998",2.93
"02/20/1998",2.91
"02/23/1998",2.88
"02/24/1998",2.83
"02/25/1998",2.87
"02/26/1998",2.86
"02/27/1998",2.88
"02/28/1998",2.87
"03/02/1998",2.8
"03/03/1998",2.79
"03/04/1998",2.81
"03/05/1998",2.82
"03/06/1998",2.85
"03/09/1998",2.88
"03/10/1998",2.89
"03/11/1998",2.89
"03/12/1998",2.93
"03/13/1998",2.91
"03/16/1998",2.91
"03/17/1998",2.88
"03/18/1998",2.85
"03/19/1998",2.84
"03/20/1998",2.84
"03/23/1998",2.83
"03/24/1998",2.82
"03/25/1998",2.78
"03/26/1998",2.75
"03/27/1998",2.73
"03/30/1998",2.71
"03/31/1998",2.83
"04/01/1998",2.84
"04/02/1998",2.88
"04/03/1998",2.94
"04/06/1998",2.89
"04/07/1998",2.9
"04/08/1998",2.87
"04/09/1998",2.86
"04/13/1998",2.81
"04/14/1998",2.85
"04/15/1998",2.84
"04/16/1998",2.86
"04/17/1998",2.85
"04/20/1998",2.82
"04/21/1998",2.8
"04/22/1998",2.8
"04/23/1998",2.8
"04/24/1998",2.81
"04/27/1998",2.79
"04/28/1998",2.78
"04/29/1998",2.79
"04/30/1998",2.98
"05/01/1998",2.98
"05/04/1998",2.95
"05/05/1998",2.93
"05/06/1998",2.97
"05/07/1998",2.97
"05/08/1998",2.95
"05/11/1998",2.9
"05/12/1998",2.98
"05/13/1998",3
"05/14/1998",2.98
"05/15/1998",2.97
"05/18/1998",3.02
"05/19/1998",3.02
"05/20/1998",3.04
"05/21/1998",3
"05/22/1998",3.01
"05/25/1998",3.01
"05/26/1998",3.04
"05/27/1998",3.05
"05/28/1998",3.04
"05/29/1998",3.05
"05/31/1998",3.18
"06/01/1998",3.2
"06/02/1998",3.18
"06/03/1998",3.18
"06/04/1998",3.15
"06/05/1998",3.16
"06/08/1998",3.15
"06/09/1998",3.15
"06/10/1998",3.2
"06/11/1998",3.24
"06/12/1998",3.26
"06/15/1998",3.3
"06/16/1998",3.29
"06/17/1998",3.25
"06/18/1998",3.26
"06/19/1998",3.28
"06/22/1998",3.29
"06/23/1998",3.31
"06/24/1998",3.28
"06/25/1998",3.28
"06/26/1998",3.28
"06/29/1998",3.27
"06/30/1998",3.37
"07/01/1998",3.39
"07/02/1998",3.41
"07/03/1998",3.41
"07/06/1998",3.42
"07/07/1998",3.39
"07/08/1998",3.36
"07/09/1998",3.39
"07/10/1998",3.38
"07/13/1998",3.34
"07/14/1998",3.33
"07/15/1998",3.3
"07/16/1998",3.29
"07/17/1998",3.29
"07/20/1998",3.3
"07/21/1998",3.3
"07/22/1998",3.29
"07/23/1998",3.31
"07/24/1998",3.3
"07/27/1998",3.3
"07/28/1998",3.26
"07/29/1998",3.29
"07/30/1998",3.3
"07/31/1998",3.38
"08/03/1998",3.42
"08/04/1998",3.48
"08/05/1998",3.5
"08/06/1998",3.5
"08/07/1998",3.55
"08/10/1998",3.58
"08/11/1998",3.75
"08/12/1998",3.76
"08/13/1998",3.76
"08/14/1998",3.78
"08/17/1998",3.83
"08/18/1998",3.84
"08/19/1998",3.86
"08/20/1998",3.9
"08/21/1998",4.09
"08/24/1998",4.16
"08/25/1998",4.23
"08/26/1998",4.36
"08/27/1998",4.7
"08/28/1998",4.87
"08/31/1998",5.2
"09/01/1998",5.26
"09/02/1998",5.26
"09/03/1998",5.33
"09/04/1998",5.36
"09/07/1998",5.35
"09/08/1998",5.3
"09/09/1998",5.43
"09/10/1998",5.68
"09/11/1998",5.7
"09/14/1998",5.67
"09/15/1998",5.66
"09/16/1998",5.67
"09/17/1998",5.7
"09/18/1998",5.79
"09/21/1998",5.78
"09/22/1998",5.72
"09/23/1998",5.72
"09/24/1998",5.73
"09/25/1998",5.76
